old url,redirectTo
/product/cisco-c891f-k9-integrated-services-router-with-advanced-security-and-connectivity,/product/C891F-K9
/product/cisco-c9300l-48p-4x-e-catalyst-9300l-48-port-switch-with-4x-10g-uplinks,/product/C9300L-48P-4X-E
/product/cisco-sfp-10g-sr-s-10gbase-sr-sfp-cisco-original,/product/SFP-10G-SR-S
/product/cisco-ie-3300-8p2s-e-industrial-ethernet-switch-with-8x-ports-and-2x-sfp-slots,/product/IE-3300-8P2S-E
/product/cisco-c9300-24s-a-catalyst-9000-24-port-switch-with-advanced-security-and-performance,/product/C9300-24S-A
/product/cisco-ie-2000-4ts-b-industrial-ethernet-switch-with-4x-ports-and-rugged-design,/product/IE-2000-4TS-B
/product/fap-231f-a---fortinet-fortiap-fap-231f-80211ax-2-ports-rj-45-wap,/product/FAP-231F-A
/product/cisco-c9200l-48t-4x-e-catalyst-9200l-series-48-port-ethernet-switch-with-4x-10g-sfp,/product/C9200L-48T-4X-E
/product/cisco-n3k-c3048tp-1ge-nexus-3000-series-48-port-gigabit-ethernet-switch,/product/N3K-C3048TP-1GE
/product/palo-alto-pa-3220-next-generation-firewall-with-advanced-threat-protection,/product/PA-3220
/product/cisco-ie-3300-8t2s-e-industrial-ethernet-switch-with-8-ports-and-2-sfp-slots,/product/IE-3300-8T2S-E
/product/cisco-air-pwrinj6-power-injector-for-aironet-access-points,/product/AIR-PWRINJ6
/product/cisco-ws-c3750x-48t-s-catalyst-3750-x-series-48-port-switch,/product/WS-C3750X-48T-S
/product/cisco-aironet-lap1142n-c-k9-wireless-access-point,/product/LAP1142N-C-K9
/product/cisco-c9300l-stack-kit-for-catalyst-9300l-series-switches,/product/C9300L
/product/cisco-aironet-cap3702i-h-k9-wireless-access-point,/product/CAP3702I-H-K9
/product/ax6000---tp-link-archer-next-gen-wi-fi-router,/product/AX6000
/product/cisco-sfp-h10gb-cu3m-10gbase-cu-sfp-direct-attach-copper-cable,/product/SFP-H10GB-CU3M
/product/cisco-aironet-ap3802e-e-k9-wireless-access-point-with-80211ac-wave-2-technology,/product/AP3802E-E-K9
/product/cisco-c9200-24t-e-catalyst-9200-series-24-port-ethernet-switch,/product/C9200-24T-E
/product/cisco-j9583b-10gbase-lr-sfp-module-for-long-range-network-connections,/product/J9583B
/product/cisco-fpr2110-ngfw-k9-next-generation-firewall-with-advanced-security-features,/product/FPR2110-NGFW-K9
/product/cisco-asa5585-s10-k9-adaptive-security-appliance-for-enterprise-security,/product/ASA5585-S10-K9
/product/juniper-ex3400-48p-ethernet-switch-with-48-ports-and-poe,/product/EX3400-48P
/product/cisco-ie-1000-8p2s-lm-industrial-ethernet-switch-with-8-ports-and-2-sfp-slots,/product/IE-1000-8P2S-LM
/product/hpe-455883-b21-bladesystem-c-class-10gbps-sfp-sr-g7-g8-g9-transceiver,/product/455883-B21
/product/fortinet-fap-222e-fortiap-222e-outdoor-wireless-wave-2-access-point,/product/FAP-222E
/product/cisco-aironet-cap3602i-a-k9-wireless-access-point,/product/CAP3602I-A-K9
/product/cisco-catalyst-c9400-lc-48u-line-card,/product/C9400-LC-48U
/product/cisco-catalyst-c9400-lc-24xs-line-card,/product/C9400-LC-24XS
/product/samsung-galaxy-buds-sm-r175-wireless-earbuds,/product/SM-R175
/product/cisco-ds-sfp-fc8g-sw-8g-fibre-channel-sfp,/product/DS-SFP-FC8G-SW
/product/cisco-catalyst-c9500-nm-8x-network-module,/product/C9500-NM-8X
/product/cisco-c9200-nm-4g-network-module,/product/C9200-NM-4G
/product/fortinet-fortigate-60e-bundle-with-950-60-licenses,/product/FORTIGATE-60E
/product/fortinet-fortigate-100f-firewall,/product/FORTIGATE-100F
/product/cisco-3945-k9-integrated-services-router,/product/3945-K9
/product/fortinet-fap-221e-access-point,/product/FAP-221E
/product/cisco-c3850-nm-blank-network-module-blank,/product/C3850-NM
/product/cisco-nexus-n9k-c93108tc-fx-line-card,/product/N9K-C93108TC-FX
/product/cisco-catalyst-c9400-lc-48h-line-card,/product/C9400-LC-48H
/product/juniper-ex4300-48t-ethernet-switch,/product/EX4300-48T
/product/cisco-firepower-1120-asa-k9-appliance,/product/1120-ASA-K9
/product/cisco-aironet-ap1832i-h-k9-wireless-access-point,/product/AP1832I-H-K9
/product/fortinet-fortigate-600e-firewall,/product/FORTIGATE-600E
/product/dell-ds-7632ni-k2-nas-storage,/product/DS-7632NI-K2
/product/cisco-catalyst-c9115axi-b-wireless-access-point,/product/C9115AXI-B
/product/cisco-ws-c3850-24t-s-catalyst-3850-series-stackable-24-port-managed-101001000-ethernet-switch,/product/WS-C3850-24T-S
/product/cisco-nim-4fxo-network-interface-module,/product/NIM-4FXO
/product/juniper-ex2300-48p-ethernet-switch-with-48-ports-and-power-over-ethernet-poe,/product/EX2300-48P
/product/cisco-catalyst-9200-series-stack-kit-for-stacking-multiple-switches,/product/9200-SERIES-STACK-KIT
/product/apple-iphone-xr-with-61-inch-liquid-retina-display-and-a12-bionic-chip,/product/IPHONE-XR
/product/cisco-pwr-rgd-ac-dc-h-redundant-power-supply-for-high-availability-and-reliability,/product/PWR-RGD-AC-DC-H
/product/cisco-catalyst-c9300-nm-2q-network-module-with-2-quad-sfp-ports,/product/C9300-NM-2Q
/product/cisco-c3kx-nm-10gt-10-gigabit-network-module-for-catalyst-3000-series,/product/C3KX-NM-10GT
/product/cisco-pwr-c5-600wac-600w-ac-power-supply-for-catalyst-9000-series,/product/PWR-C5-600WAC
/product/cisco-glc-fe-100fx-rgd-100base-fx-sfp-module-for-long-range-fiber,/product/GLC-FE-100FX-RGD
/product/fortinet-fortigate-30e-firewall-for-small-to-medium-sized-networks,/product/FORTIGATE-30E
/product/dell-s4148f-on-48-port-10g-ethernet-switch,/product/S4148F-ON
/product/cisco-aironet-ap2802i-t-k9-wireless-access-point-with-enhanced-features,/product/AP2802I-T-K9
/product/palo-alto-pa-220r-next-generation-firewall-for-small-to-medium-sized-enterprises,/product/PA-220R
/product/cisco-catalyst-9400-lc-48h-b-line-card-with-48-ports-for-high-density-networking,/product/9400-LC-48H-B
/product/cisco-asa5516-fpwr-k9-security-appliance-with-power-supply,/product/ASA5516-FPWR-K9
/product/cisco-aironet-ap1832i-d-k9-wireless-access-point-with-dual-band-support,/product/AP1832I-D-K9
/product/fortinet-fortigate-100e-network-security-appliance-with-advanced-protection,/product/FORTIGATE-100E
/product/cisco-catalyst-ws-c3750g-12s-s-12-port-switch-with-gigabit-sfp-ports,/product/WS-C3750G-12S-S
/product/cisco-glc-ex-smd-1gbase-ex-sfp-module-for-extended-range-fiber,/product/GLC-EX-SMD
/product/cisco-asa5515-k9-next-generation-firewall-with-high-performance,/product/ASA5515-K9
/product/cisco-aironet-ap2702i-uxk9-wireless-access-point-with-dual-band-and-high-performance,/product/AP2702I-UXK9
/product/cisco-catalyst-9120axe-e-access-point-with-wi-fi-6-and-enhanced-performance,/product/9120AXE-E
/product/cisco-catalyst-8300-2n2s-6t-router-with-network-modules-and-6-ports,/product/8300-2N2S-6T
/product/fortinet-fortigate-61f-next-generation-firewall-with-advanced-security-features,/product/FORTIGATE-61F
/product/cisco-j4858d-1000base-lx-sfp-module-for-long-range-fiber-connectivity,/product/J4858D
/product/cisco-nexus-n3k-c3548p-10gx-switch-with-48-ports-and-10-gigabit-uplinks,/product/N3K-C3548P-10GX
/product/cisco-p10812-001-100gbase-lr4-transceiver-module-for-long-range-fiber,/product/P10812-001
/product/cisco-sfp-ge-l-gigabit-ethernet-module-for-long-range-fiber,/product/SFP-GE-L
/product/dell-s4128f-on-48-port-10g-ethernet-switch-with-high-speed-performance,/product/S4128F-ON
/product/palo-alto-pa-cg-ion-9000-next-generation-firewall-for-high-performance-networks,/product/PA-CG-ION-9000
/product/cisco-fpr1010-asa-k9-next-generation-firewall-for-small-to-medium-enterprises,/product/FPR1010-ASA-K9
/product/cisco-stack-t4-3m-3-meter-stack-cable-for-connecting-cisco-switches,/product/STACK-T4-3M
/product/cisco-aironet-ap1852i-h-k9-wireless-access-point-with-high-density-performance,/product/AP1852I-H-K9
/product/zte-mc801-5g-cpe-indoor-wi-fi-router-for-high-speed-5g-connectivity,/product/MC801-5G
/product/cisco-pvdm4-64-voicedata-module-with-64-channels-for-enhanced-performance,/product/PVDM4-64
/product/fortinet-fortigate-1100e-network-security-appliance-with-high-performance-protection,/product/FORTIGATE-1100E
/product/hpe-745823-b21-16tb-sas-hard-drive-for-enterprise-storage-solutions,/product/745823-B21
/product/cisco-ie-2000-4ts-g-b-industrial-ethernet-switch-with-4-gigabit-ports,/product/IE-2000-4TS
/product/fortinet-fortigate-200f-next-generation-firewall-for-mid-sized-networks,/product/FORTIGATE-200F
/product/cisco-asr1002-hx-aggregation-services-router-with-enhanced-performance,/product/ASR1002-HX
/product/cisco-glc-fe-100lx-rgd-100base-lx-sfp-module-for-long-range-fiber-connectivity,/product/GLC-FE-100LX-RGD
/product/cisco-ie-2000-8tc-g-b-industrial-ethernet-switch-with-8-gigabit-ports,/product/IE-2000-8TC-G-B
/product/fortinet-fortigate-81e-next-generation-firewall-for-advanced-security-solutions,/product/FORTIGATE-81E
/product/cisco-j9151d-10gbase-lr-sfp-module-for-long-range-fiber-connections,/product/J9151D
/product/cisco-n7k-f348xp-25-48-port-10g-ethernet-module-for-nexus-7000-series,/product/N7K-F348XP-25
/product/cisco-glc-fe-100lx-100base-lx-sfp-module-for-long-distance-fiber-connectivity,/product/GLC-FE-100LX
/product/a99-32x100ge-x-se---cisco-asr9000-modules--cards,/product/A99-32X100GE-X-SE
/product/cisco-catalyst-9105axi-b-wireless-access-point-with-wi-fi-6-technology,/product/9105AXI-B
/product/cisco-ie-2000-4ts-l-industrial-ethernet-switch-with-4-gigabit-ports,/product/IE2000-4TS-L
